Artist ID,Name,Nationality,Gender,Birth Year,Death Year
1,Robert Arneson,American,Male,1930.0,1992.0
2,Doroteo Arnaiz,Spanish,Male,1936.0,Unknown
3,Bill Arnold,American,Male,1941.0,Unknown
4,Charles Arnoldi,American,Male,1946.0,Unknown
5,Per Arnoldi,Danish,Male,1941.0,Unknown
6,Danilo Aroldi,Italian,Male,1925.0,Unknown
7,Bill Aron,American,Male,1941.0,Unknown
9,David Aronson,American,Male,1923.0,Unknown
10,Irene Aronson,American,Female,1918.0,Unknown
11,Jean (Hans) Arp,French,Male,1886.0,1966.0
12,Jüri Arrak,Estonian,Male,1936.0,Unknown
13,J. Arrelano Fischer,Mexican,Male,1911.0,1995.0
15,Folke Arstrom,Swedish,Male,1907.0,1997.0
16,Cristobal Arteche,Spanish,Male,1900.0,1964.0
18,Artko,Nationality unknown,Gender unknown,Unknown,Unknown
19,Richard Artschwager,American,Male,1923.0,2013.0
21,Ruth Asawa,American,Female,1926.0,2013.0
22,Isidora Aschheim,Israeli,Female,Unknown,Unknown
23,Charles Robert Ashbee,British,Male,1863.0,1942.0
24,Donald Ashcraft,American,Male,1927.0,Unknown
25,E. M. Ashe,American,Male,1867.0,1941.0
26,Göran Åslin,Swedish,Gender unknown,1940.0,Unknown
27,Erik Gunnar Asplund,Swedish,Male,1885.0,1940.0
28,Geneviève Asse,French,Female,1923.0,Unknown
30,Sergio Asti,Italian,Male,1926.0,Unknown
31,Dana Atchley,American,Female,1941.0,2000.0
32,Atelier Eggers,French,Gender unknown,Unknown,Unknown
33,A.A.P.,American,Gender unknown,Unknown,Unknown
34,Alvar Aalto,Finnish,Male,1898.0,1976.0
35,Aino Aalto,Finnish,Female,1894.0,1949.0
36,Eero Aarnio,Finnish,Male,1932.0,Unknown
37,Jules Aarons,American,Male,1921.0,2008.0
38,Magdalena Abakanowicz,Polish,Female,1930.0,Unknown
39,James Abbe,American,Male,1883.0,1973.0
40,Jussuff Abbo,British,Male,1888.0,1953.0
41,Berenice Abbott,American,Female,1898.0,1991.0
42,Nobuya Abe,Japanese,Male,1913.0,1971.0
43,Abe Shiro (pen Name: Suichiku),Japanese,Male,1900.0,Unknown
44,Robert Abel,American,Male,1937.0,Unknown
46,Sigmund Abeles,American,Male,1934.0,Unknown
47,Raimund Abraham,American,Male,1933.0,2010.0
49,Ivor Abrahams,British,Male,1935.0,Unknown
50,Gerald Abramovitz,British,Male,1928.0,2011.0
51,William Ross Abrams,American,Male,1920.0,2007.0
52,Rodolfo Abularach,Guatemalan,Male,1933.0,Unknown
53,Vito Acconci,American,Male,1940.0,Unknown
54,Milton Ackoff,American,Male,1915.0,Unknown
55,Norman Ackroyd,British,Male,Unknown,Unknown
56,Luis Alberto Acuña,Colombian,Male,1904.0,1994.0
57,Henri Georges Adam,French,Male,1904.0,1967.0
58,Antoine Samuel Adam-Salomon,French,Male,1818.0,1881.0
59,Valerio Adami,Italian,Male,1935.0,Unknown
60,Ansel Adams,American,Male,1902.0,1984.0
61,Alice Adams,American,Female,1930.0,Unknown
62,Clinton Adams,American,Male,1918.0,2002.0
63,Dacres Adams,British,Male,1864.0,1951.0
64,Dennis Adams,American,Male,1948.0,Unknown
65,Kenneth M. Adams,American,Male,1897.0,1966.0
66,Robert Adams,American,Male,1937.0,Unknown
67,Shelby Lee Adams,American,Female,1950.0,Unknown
68,Charles Addams,American,Male,1912.0,1988.0
69,Allan Adler,American,Male,1916.0,2002.0
70,Jankel Adler,Polish,Male,1895.0,1949.0
71,Virginia Admiral,American,Female,1915.0,2000.0
72,Pic Adrian,Romanian,Male,1910.0,Unknown
74,Roy Adzak,British,Male,1927.0,1987.0
76,Nicholas Africano,American,Male,1948.0,Unknown
77,Afro (Afro Basaldella),Italian,Male,1912.0,1976.0
78,Aftograf,Russian,Gender unknown,Unknown,Unknown
79,Agam (Yaacov Agam),Israeli,Male,1928.0,Unknown
80,Mehemed Fehmy Agha,American,Male,1896.0,1978.0
81,Kathleen Agnoli,American,Female,1945.0,Unknown
82,Peter Agostini,American,Male,1913.0,1993.0
83,Olympe Aguado de las Marismas,French,Male,1827.0,1894.0
84,Dongkuk S. Ahn,American,Male,1937.0,2013.0
85,Aarne Aho,Finnish,Male,1904.0,1978.0
86,Otl Aicher (also known as Otto Aicher),German,Male,1922.0,1991.0
87,Lucien Aigner,American,Male,1901.0,1999.0
88,Gregory Ain,American,Male,1908.0,1988.0
89,Edgar Ainsworth,British,Male,1906.0,1975.0
91,Roberto Aizenberg,Argentine,Male,1928.0,1996.0
92,Kinji Akagawa,Japanese,Male,1940.0,Unknown
93,Ryoji Akiyama,Japanese,Male,1942.0,Unknown
94,Munira Al-Kazi,Kuwaiti,Female,1939.0,Unknown
95,Alastair (Hans H. Voight),German,Male,1887.0,1969.0
96,Anni Albers,American,Female,1899.0,1994.0
97,Josef Albers,American,Male,1888.0,1976.0
98,Beatrice Albert,American,Female,Unknown,Unknown
99,Joan Albert,American,Female,1943.0,2012.0
100,Ivan Le Lorraine Albright,American,Male,1897.0,1983.0
101,Album-miscellaneous,Various,Gender unknown,Unknown,Unknown
103,Albert Alcalay,American,Male,1917.0,2008.0
104,L. (Alfred Lewin Copley) Alcopley,American,Male,1910.0,1992.0
105,A. Alcorn,American,Gender unknown,Unknown,Unknown
